x_coordinate,y_coordinate
-4.504,1.649
-4.484,1.7295
-4.457,1.793
-4.38,1.649
-4.363,1.644
-4.35,1.639
-4.355,1.628
-4.36,1.635
-4.348,1.618
-4.344,1.628
-4.32,1.622
-4.324,1.62
-4.297,1.631
-4.3,1.641
-4.414,1.779
-4.2,1.6455
-4.332,1.696
-4.293,1.645
-4.242,2.057
-4.332,2.123
-4.434,1.688
-4.508,2.21
-4.348,2.53
-4.348,2.596
-4.547,2.594
-4.426,2.652
-4.406,2.621
-4.703,2.822
-4.76,2.49
-4.914,2.43
-5.035,2.059
-4.992,2.379
-5.207,2.455
-5.41,2.36
-5.258,2.057
-5.062,2.395
-5.043,2.465
-5.098,2.176
-5.18,2.254
-5.168,1.822
-5.273,1.865
-5.324,2.266
-5.26,2.066
-5.62,2.383
-5.887,2.486
-6.387,2.633
-6.41,2.572
-6.42,2.88
-6.26,2.842
-6.37,2.525
-6.42,2.447
-6.77,2.3
-6.484,2.68
-6.63,2.465
-6.71,2.354
-6.71,2.02
-6.387,2.56
-6.562,2.426
-6.754,2.451
-6.31,2.438
-6.18,2.457
-5.758,1.985
-5.74,2.135
-5.816,1.647
-5.816,1.633
-5.816,1.627
-5.824,1.64
-5.83,1.613
-5.836,1.6
-5.836,1.584
-5.824,1.587
-5.832,1.591
-5.816,1.601
-5.82,1.604
-5.84,1.587
-5.824,1.591
-5.82,1.593
-5.812,1.563
-5.805,1.581
-5.785,1.566
-5.773,1.554
-5.785,1.546
-5.785,1.539
-5.797,1.529
-5.79,1.542
-5.777,1.547
-5.77,1.5625
-5.766,1.559
-5.766,1.554
-5.742,1.539
-5.754,1.541
-5.75,1.537
-5.773,1.542
-5.79,1.538
-5.785,1.528
-5.78,1.513
-5.78,1.515
-5.78,1.524
-5.8,1.525
-5.8,1.53
-5.81,1.523
-5.805,1.538
-5.797,1.525
-5.812,1.524
-5.805,1.51
-5.793,1.501
-5.785,1.496
-5.77,1.496
-5.773,1.482
-5.758,1.496
-5.742,1.496
-5.74,1.49
-5.742,1.489
-5.754,1.492
-5.75,1.4795
-5.75,1.481
-5.742,1.495
-5.723,1.497
-5.723,1.498
-5.715,1.479
-5.707,1.467
-5.695,1.457
-5.71,1.46
-5.71,1.452
-5.71,1.446
-5.695,1.451
-5.684,1.451
-5.69,1.465
-5.67,1.466
-5.664,1.469
-5.668,1.473
-5.676,1.465
-5.68,1.465
-5.703,1.468
-5.715,1.453
-5.695,1.445
-5.7,1.452
-5.695,1.439
-5.684,1.44
-5.684,1.437
-5.7,1.433
-5.69,1.444
-5.688,1.456
-5.688,1.432
-5.688,1.425
-5.695,1.422
-5.69,1.42
-5.68,1.417
-5.69,1.402
-5.695,1.4
-5.684,1.403
-5.668,1.403
-5.664,1.402
-5.652,1.393
-5.645,1.389
-5.65,1.397
-5.637,1.4
-5.656,1.408
-5.64,1.401
-5.668,1.394
-5.676,1.362
-5.676,1.359
-5.7,1.361
-5.69,1.348
-5.676,1.328
-5.664,1.344
-5.676,1.349
-5.676,1.343
-5.68,1.343
-5.676,1.332
-5.68,1.327
-5.68,1.334
-5.668,1.344
-5.645,1.35
-5.645,1.336
-5.645,1.339
-5.633,1.332
-5.62,1.334
-5.605,1.349
-5.63,1.347
-5.64,1.363
-5.65,1.373
-5.65,1.361
-5.645,1.368
-5.65,1.356
-5.67,1.359
-5.67,1.378
-5.676,1.379
-5.645,1.351
-5.645,1.339
-5.64,1.324
-5.65,1.327
-5.652,1.327
-5.645,1.329
-5.66,1.334
-5.676,1.331
-5.668,1.333
-5.656,1.349
-5.67,1.359
-5.695,1.353
-5.71,1.357
-5.703,1.37
-5.688,1.371
-5.68,1.364
-5.68,1.354
-5.676,1.36
-5.652,1.358
-5.65,1.363
-5.656,1.382
-5.63,1.382
-5.637,1.381
-5.65,1.392
-5.645,1.392
-5.64,1.4
-5.625,1.415
-5.65,1.423
-5.656,1.424
-5.66,1.407
-5.664,1.389
-5.637,1.392
-5.637,1.394
-5.64,1.394
-5.637,1.38
-5.63,1.395
-5.6,1.377
-5.63,1.372
-5.594,1.379
-5.605,1.393
-5.59,1.391
-5.586,1.395
-5.58,1.392
-5.58,1.397
-5.566,1.408
-5.562,1.425
-5.57,1.419
-5.586,1.424
-5.58,1.427
-5.582,1.429
-5.574,1.44
-5.566,1.442
-5.547,1.445
-5.527,1.446
-5.547,1.455
-5.547,1.455
-5.523,1.451
-5.535,1.445
-5.535,1.459
-5.523,1.461
-5.516,1.446
-5.504,1.443
-5.49,1.443
-5.496,1.4375
-5.5,1.443
-5.48,1.441
-5.457,1.433
-5.465,1.428
