nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
1,0.0,0.0,0.0,0.0
2,0.0,0.0,100.0,0.0
3,0.0,0.0,100.0,0.0
4,0.0,0.0,50.0,0.0
5,0.0,0.0,50.0,0.0
6,0.0,0.0,100.0,0.0
7,0.0,0.0,100.0,0.0
8,0.0,0.0,100.0,0.0
9,0.0,0.0,100.0,0.0
10,0.0,0.0,100.0,0.0
11,0.0,0.0,100.0,0.0
12,0.0,0.0,66.66666666666667,0.0
13,0.0,0.0,50.0,0.0
14,0.0,0.0,40.0,0.0
15,0.0,0.0,40.0,0.0
16,0.0,0.0,40.0,0.0
17,0.0,0.0,40.0,20.0
18,0.0,0.0,60.0,20.0
19,0.0,0.0,60.0,20.0
20,0.0,0.0,60.0,20.0
21,0.0,0.0,80.0,20.0
22,0.0,0.0,80.0,20.0
23,0.0,0.0,66.66666666666667,16.666666666666668
24,0.0,0.0,66.66666666666667,16.666666666666668
25,0.0,0.0,66.66666666666667,16.666666666666668
26,0.0,0.0,66.66666666666667,16.666666666666668
27,0.0,0.0,66.66666666666667,16.666666666666668
28,0.0,0.0,66.66666666666667,16.666666666666668
29,0.0,0.0,66.66666666666667,16.666666666666668
30,0.0,0.0,83.33333333333333,16.666666666666668
31,0.0,0.0,83.33333333333333,16.666666666666668
32,0.0,0.0,83.33333333333333,16.666666666666668
33,0.0,0.0,83.33333333333333,16.666666666666668
34,0.0,0.0,71.42857142857143,14.285714285714286
35,0.0,0.0,71.42857142857143,14.285714285714286
36,0.0,0.0,71.42857142857143,14.285714285714286
37,0.0,0.0,62.5,12.5
38,0.0,0.0,62.5,12.5
39,0.0,0.0,62.5,12.5
40,0.0,0.0,62.5,12.5
41,0.0,0.0,62.5,12.5
42,0.0,0.0,62.5,12.5
43,0.0,0.0,62.5,12.5
44,0.0,0.0,62.5,25.0
45,0.0,0.0,62.5,25.0
46,0.0,0.0,62.5,37.5
47,0.0,0.0,55.55555555555556,33.333333333333336
48,0.0,0.0,50.0,30.0
49,0.0,0.0,50.0,30.0
50,0.0,0.0,60.0,30.0
51,0.0,0.0,60.0,30.0
52,0.0,0.0,60.0,40.0
53,0.0,0.0,60.0,40.0
54,0.0,0.0,60.0,40.0
55,0.0,0.0,60.0,50.0
56,0.0,0.0,54.54545454545455,45.45454545454545
57,0.0,9.090909090909092,54.54545454545455,45.45454545454545
58,0.0,9.090909090909092,54.54545454545455,45.45454545454545
59,0.0,9.090909090909092,54.54545454545455,45.45454545454545
60,0.0,9.090909090909092,63.63636363636363,45.45454545454545
61,0.0,9.090909090909092,63.63636363636363,45.45454545454545
62,0.0,9.090909090909092,72.72727272727273,45.45454545454545
63,0.0,9.090909090909092,72.72727272727273,45.45454545454545
64,0.0,9.090909090909092,81.81818181818181,45.45454545454545
65,0.0,9.090909090909092,81.81818181818181,45.45454545454545
66,0.0,9.090909090909092,81.81818181818181,45.45454545454545
67,0.0,9.090909090909092,81.81818181818181,45.45454545454545
68,0.0,9.090909090909092,81.81818181818181,45.45454545454545
69,0.0,9.090909090909092,90.9090909090909,45.45454545454545
70,0.0,9.090909090909092,90.9090909090909,45.45454545454545
71,0.0,9.090909090909092,90.9090909090909,45.45454545454545
72,0.0,9.090909090909092,90.9090909090909,45.45454545454545
73,0.0,8.333333333333334,83.33333333333333,41.666666666666664
74,0.0,8.333333333333334,91.66666666666667,41.666666666666664
75,0.0,8.333333333333334,91.66666666666667,41.666666666666664
76,0.0,8.333333333333334,91.66666666666667,41.666666666666664
77,0.0,8.333333333333334,91.66666666666667,41.666666666666664
78,0.0,8.333333333333334,91.66666666666667,41.666666666666664
79,0.0,7.6923076923076925,84.61538461538461,38.46153846153846
80,0.0,7.142857142857143,78.57142857142857,35.714285714285715
81,0.0,7.142857142857143,78.57142857142857,35.714285714285715
82,0.0,7.142857142857143,78.57142857142857,35.714285714285715
83,0.0,7.142857142857143,85.71428571428571,35.714285714285715
84,0.0,7.142857142857143,85.71428571428571,35.714285714285715
85,0.0,7.142857142857143,85.71428571428571,35.714285714285715
86,0.0,7.142857142857143,85.71428571428571,35.714285714285715
87,0.0,7.142857142857143,85.71428571428571,35.714285714285715
88,0.0,7.142857142857143,85.71428571428571,35.714285714285715
89,0.0,7.142857142857143,85.71428571428571,35.714285714285715
90,0.0,7.142857142857143,92.85714285714286,35.714285714285715
91,0.0,6.666666666666667,86.66666666666667,33.333333333333336
92,0.0,6.666666666666667,86.66666666666667,33.333333333333336
93,0.0,6.666666666666667,86.66666666666667,33.333333333333336
94,0.0,6.666666666666667,86.66666666666667,33.333333333333336
95,0.0,6.25,81.25,31.25
96,0.0,6.25,81.25,31.25
97,0.0,6.25,81.25,31.25
98,0.0,6.25,81.25,31.25
99,0.0,6.25,87.5,31.25
100,0.0,5.882352941176471,82.3529411764706,29.41176470588235
101,0.0,5.882352941176471,82.3529411764706,29.41176470588235
