nth_trial,innerXtalk,outerXtalk
1,100.0,0.0
4,50.0,0.0
8,25.0,0.0
9,50.0,0.0
12,33.333333333333336,0.0
16,25.0,0.0
17,37.5,0.0
26,50.0,0.0
28,62.5,0.0
29,75.0,0.0
30,60.0,0.0
31,70.0,0.0
32,80.0,0.0
35,90.0,0.0
39,100.0,0.0
41,83.33333333333333,0.0
42,91.66666666666667,0.0
43,78.57142857142857,0.0
45,85.71428571428571,0.0
46,92.85714285714286,0.0
47,81.25,0.0
48,87.5,0.0
51,77.77777777777777,0.0
53,83.33333333333333,0.0
55,75.0,0.0
56,68.18181818181819,0.0
58,62.5,0.0
59,57.69230769230769,0.0
60,53.57142857142857,0.0
61,50.0,0.0
62,46.875,0.0
63,50.0,0.0
67,53.125,0.0
69,50.0,0.0
70,52.94117647058823,0.0
71,50.0,0.0
77,47.36842105263158,0.0
82,45.0,0.0
83,42.857142857142854,0.0
86,45.23809523809524,0.0
87,43.18181818181818,0.0
89,45.45454545454545,0.0
90,47.72727272727273,0.0
91,50.0,0.0
96,47.82608695652174,0.0
97,45.833333333333336,0.0
99,47.916666666666664,0.0
