nth_trial,innerXtalk,outerXtalk
4,0.0,0.0
7,0.0,0.0
9,25.0,0.0
11,50.0,0.0
13,75.0,0.0
18,50.0,0.0
25,66.66666666666667,0.0
26,50.0,0.0
27,62.5,0.0
28,50.0,0.0
29,60.0,0.0
34,50.0,0.0
40,58.333333333333336,0.0
42,50.0,0.0
44,43.75,0.0
46,50.0,0.0
48,56.25,0.0
52,50.0,0.0
53,55.55555555555556,0.0
54,50.0,0.0
57,45.45454545454545,0.0
58,41.666666666666664,0.0
59,45.833333333333336,0.0
60,42.30769230769231,0.0
62,46.15384615384615,0.0
63,50.0,0.0
66,53.84615384615385,0.0
67,50.0,0.0
68,53.57142857142857,0.0
70,57.142857142857146,0.0
71,53.333333333333336,0.0
74,56.666666666666664,0.0
75,53.125,0.0
78,50.0,0.0
79,47.22222222222222,0.0
80,50.0,0.0
81,52.77777777777778,0.0
84,55.55555555555556,0.0
85,52.63157894736842,0.0
86,55.26315789473684,0.0
88,52.5,0.0
93,55.0,0.0
96,57.5,0.0
97,54.76190476190476,0.0
