nth_trial,innerXtalk,outerXtalk
1,100.0,0.0
2,100.0,0.0
5,100.0,0.0
6,100.0,0.0
7,100.0,0.0
8,100.0,0.0
9,100.0,0.0
10,200.0,150.0
12,200.0,200.0
13,200.0,250.0
14,250.0,250.0
15,250.0,300.0
19,125.0,150.0
21,150.0,150.0
25,175.0,150.0
26,116.66666666666667,100.0
27,87.5,75.0
28,70.0,60.0
29,80.0,60.0
31,80.0,70.0
33,90.0,70.0
34,75.0,58.333333333333336
36,75.0,66.66666666666667
37,64.28571428571429,57.142857142857146
38,71.42857142857143,57.142857142857146
39,62.5,50.0
40,68.75,50.0
41,61.111111111111114,44.44444444444444
43,55.0,40.0
44,50.0,36.36363636363637
45,45.833333333333336,33.333333333333336
50,42.30769230769231,30.76923076923077
51,46.15384615384615,30.76923076923077
52,50.0,30.76923076923077
53,50.0,34.61538461538461
54,46.42857142857143,32.142857142857146
59,43.333333333333336,30.0
60,46.666666666666664,30.0
61,43.75,28.125
63,46.875,28.125
65,44.11764705882353,26.470588235294116
67,47.05882352941177,26.470588235294116
69,44.44444444444444,25.0
70,42.10526315789474,23.68421052631579
72,44.73684210526316,23.68421052631579
75,42.5,22.5
76,40.476190476190474,21.428571428571427
78,38.63636363636363,20.454545454545453
79,38.63636363636363,22.727272727272727
80,36.95652173913044,21.73913043478261
81,36.95652173913044,23.91304347826087
82,35.416666666666664,22.916666666666668
83,37.5,22.916666666666668
85,39.583333333333336,22.916666666666668
86,38.0,22.0
88,36.53846153846154,21.153846153846153
89,35.18518518518518,20.37037037037037
90,35.18518518518518,22.22222222222222
91,35.18518518518518,24.074074074074073
92,35.18518518518518,25.925925925925927
93,35.18518518518518,27.77777777777778
94,33.92857142857143,26.785714285714285
95,35.714285714285715,26.785714285714285
96,37.5,26.785714285714285
97,37.5,28.571428571428573
98,37.5,30.357142857142858
103,36.206896551724135,29.310344827586206
104,35.0,28.333333333333332
105,36.666666666666664,28.333333333333332
106,38.333333333333336,28.333333333333332
107,37.096774193548384,27.419354838709676
108,37.096774193548384,29.032258064516128
112,37.096774193548384,30.64516129032258
113,38.70967741935484,30.64516129032258
114,40.32258064516129,30.64516129032258
116,39.0625,29.6875
117,37.878787878787875,28.78787878787879
118,39.39393939393939,28.78787878787879
121,40.90909090909091,28.78787878787879
122,40.90909090909091,30.303030303030305
123,42.42424242424242,30.303030303030305
124,41.1764705882353,29.41176470588235
125,42.64705882352941,29.41176470588235
127,44.11764705882353,29.41176470588235
128,45.588235294117645,29.41176470588235
129,47.05882352941177,29.41176470588235
130,45.714285714285715,28.571428571428573
131,44.44444444444444,27.77777777777778
132,43.24324324324324,27.027027027027028
133,44.5945945945946,27.027027027027028
134,45.945945945945944,27.027027027027028
136,44.73684210526316,26.31578947368421
138,46.05263157894737,26.31578947368421
139,47.36842105263158,26.31578947368421
141,46.15384615384615,25.641025641025642
142,46.15384615384615,26.923076923076923
143,45.0,26.25
144,46.25,26.25
146,45.1219512195122,25.609756097560975
150,46.34146341463415,25.609756097560975
151,47.5609756097561,25.609756097560975
154,46.42857142857143,25.0
157,45.348837209302324,24.41860465116279
158,45.348837209302324,25.58139534883721
159,44.31818181818182,25.0
161,45.45454545454545,25.0
163,46.59090909090909,25.0
164,47.72727272727273,25.0
166,48.86363636363637,25.0
168,47.77777777777778,24.444444444444443
169,46.73913043478261,23.91304347826087
171,46.73913043478261,25.0
174,47.82608695652174,25.0
175,48.91304347826087,25.0
176,48.91304347826087,26.08695652173913
177,48.91304347826087,27.17391304347826
179,48.91304347826087,28.26086956521739
180,47.87234042553192,27.659574468085108
182,46.875,27.083333333333332
184,47.916666666666664,27.083333333333332
185,46.93877551020408,26.53061224489796
186,46.0,26.0
187,46.0,27.0
188,45.09803921568628,26.470588235294116
189,46.07843137254902,26.470588235294116
190,45.19230769230769,25.96153846153846
191,44.339622641509436,25.471698113207548
196,43.51851851851852,25.0
199,44.44444444444444,25.0
203,43.63636363636363,24.545454545454547
206,43.63636363636363,25.454545454545453
207,44.54545454545455,25.454545454545453
208,45.45454545454545,25.454545454545453
209,45.45454545454545,26.363636363636363
210,44.642857142857146,25.892857142857142
211,44.642857142857146,26.785714285714285
214,44.642857142857146,27.678571428571427
215,44.642857142857146,28.571428571428573
217,45.535714285714285,28.571428571428573
221,44.73684210526316,28.07017543859649
222,43.96551724137931,27.586206896551722
223,43.220338983050844,27.11864406779661
225,42.5,26.666666666666668
226,43.333333333333336,26.666666666666668
230,42.622950819672134,26.229508196721312
231,41.935483870967744,25.806451612903224
233,41.26984126984127,25.396825396825395
234,42.06349206349206,25.396825396825395
236,41.40625,25.0
237,41.40625,25.78125
238,40.76923076923077,25.384615384615383
239,41.53846153846154,25.384615384615383
240,42.30769230769231,25.384615384615383
241,42.30769230769231,26.153846153846153
242,43.07692307692308,26.153846153846153
244,42.42424242424242,25.757575757575758
249,43.18181818181818,25.757575757575758
250,42.53731343283582,25.37313432835821
251,43.28358208955224,25.37313432835821
252,44.02985074626866,25.37313432835821
253,44.02985074626866,26.119402985074625
254,44.02985074626866,26.865671641791046
255,43.38235294117647,26.470588235294116
256,44.11764705882353,26.470588235294116
257,43.47826086956522,26.08695652173913
258,43.47826086956522,26.81159420289855
259,42.857142857142854,26.428571428571427
260,43.57142857142857,26.428571428571427
262,42.95774647887324,26.056338028169016
264,42.361111111111114,25.694444444444443
265,43.05555555555556,25.694444444444443
266,42.465753424657535,25.34246575342466
267,41.891891891891895,25.0
269,42.567567567567565,25.0
271,43.24324324324324,25.0
272,43.24324324324324,25.675675675675677
273,42.666666666666664,25.333333333333332
274,42.666666666666664,26.0
275,42.10526315789474,25.657894736842106
276,42.76315789473684,25.657894736842106
279,42.20779220779221,25.324675324675326
281,42.20779220779221,25.974025974025974
282,42.20779220779221,26.623376623376622
284,41.666666666666664,26.28205128205128
286,42.30769230769231,26.28205128205128
287,42.30769230769231,26.923076923076923
288,41.77215189873418,26.582278481012658
290,42.40506329113924,26.582278481012658
293,42.40506329113924,27.21518987341772
295,41.875,26.875
296,41.358024691358025,26.54320987654321
297,40.853658536585364,26.21951219512195
298,41.46341463414634,26.21951219512195
300,42.073170731707314,26.21951219512195
301,42.073170731707314,26.829268292682926
304,41.566265060240966,26.50602409638554
305,42.16867469879518,26.50602409638554
306,42.7710843373494,26.50602409638554
309,43.373493975903614,26.50602409638554
310,43.373493975903614,27.10843373493976
311,43.975903614457835,27.10843373493976
313,44.57831325301205,27.10843373493976
314,45.18072289156626,27.10843373493976
315,45.78313253012048,27.10843373493976
316,46.3855421686747,27.10843373493976
317,45.833333333333336,26.785714285714285
319,45.294117647058826,26.470588235294116
324,44.76744186046512,26.162790697674417
326,44.76744186046512,26.74418604651163
327,44.252873563218394,26.436781609195403
328,44.827586206896555,26.436781609195403
329,44.31818181818182,26.136363636363637
330,43.82022471910113,25.84269662921348
331,43.82022471910113,26.40449438202247
332,44.38202247191011,26.40449438202247
334,43.888888888888886,26.11111111111111
336,44.44444444444444,26.11111111111111
339,45.0,26.11111111111111
340,44.505494505494504,25.824175824175825
341,44.02173913043478,25.543478260869566
343,44.56521739130435,25.543478260869566
345,44.56521739130435,26.08695652173913
346,45.108695652173914,26.08695652173913
347,45.65217391304348,26.08695652173913
348,45.16129032258065,25.806451612903224
349,44.680851063829785,25.53191489361702
351,45.212765957446805,25.53191489361702
352,44.73684210526316,25.263157894736842
356,45.26315789473684,25.263157894736842
357,44.791666666666664,25.0
359,44.329896907216494,24.742268041237114
360,43.87755102040816,24.489795918367346
361,43.87755102040816,25.0
362,44.38775510204081,25.0
363,43.93939393939394,24.747474747474747
365,43.5,24.5
369,43.06930693069307,24.257425742574256
372,43.06930693069307,24.752475247524753
373,43.56435643564357,24.752475247524753
375,43.13725490196079,24.50980392156863
376,42.71844660194175,24.271844660194176
377,42.30769230769231,24.03846153846154
378,42.78846153846154,24.03846153846154
379,42.38095238095238,23.80952380952381
382,42.857142857142854,23.80952380952381
386,42.45283018867924,23.58490566037736
387,42.05607476635514,23.364485981308412
389,42.05607476635514,23.83177570093458
390,41.666666666666664,23.61111111111111
392,41.28440366972477,23.394495412844037
393,40.90909090909091,23.181818181818183
394,40.54054054054054,22.972972972972972
395,40.17857142857143,22.767857142857142
397,39.823008849557525,22.56637168141593
398,39.473684210526315,22.36842105263158
399,39.130434782608695,22.17391304347826
400,39.130434782608695,22.608695652173914
401,39.56521739130435,22.608695652173914
403,39.224137931034484,22.413793103448278
405,38.888888888888886,22.22222222222222
409,38.559322033898304,22.033898305084747
411,38.23529411764706,21.84873949579832
412,38.65546218487395,21.84873949579832
413,39.075630252100844,21.84873949579832
415,39.49579831932773,21.84873949579832
416,39.166666666666664,21.666666666666668
417,39.166666666666664,22.083333333333332
418,38.84297520661157,21.90082644628099
420,39.256198347107436,21.90082644628099
421,38.9344262295082,21.721311475409838
422,38.61788617886179,21.54471544715447
423,38.306451612903224,21.370967741935484
424,38.70967741935484,21.370967741935484
425,38.4,21.2
426,38.4,21.6
427,38.095238095238095,21.428571428571427
428,38.492063492063494,21.428571428571427
429,38.888888888888886,21.428571428571427
430,39.285714285714285,21.428571428571427
431,38.976377952755904,21.25984251968504
432,38.976377952755904,21.653543307086615
433,39.37007874015748,21.653543307086615
435,39.76377952755905,21.653543307086615
436,40.15748031496063,21.653543307086615
438,40.55118110236221,21.653543307086615
443,40.55118110236221,22.04724409448819
445,40.94488188976378,22.04724409448819
446,40.625,21.875
447,40.310077519379846,21.705426356589147
449,40.69767441860465,21.705426356589147
450,41.08527131782946,21.705426356589147
451,41.47286821705426,21.705426356589147
453,41.47286821705426,22.093023255813954
456,41.86046511627907,22.093023255813954
457,41.53846153846154,21.923076923076923
458,41.92307692307692,21.923076923076923
459,42.30769230769231,21.923076923076923
460,42.69230769230769,21.923076923076923
461,42.36641221374046,21.755725190839694
462,42.74809160305343,21.755725190839694
463,42.42424242424242,21.59090909090909
464,42.803030303030305,21.59090909090909
465,42.4812030075188,21.428571428571427
466,42.857142857142854,21.428571428571427
467,42.857142857142854,21.804511278195488
468,42.857142857142854,22.18045112781955
469,43.233082706766915,22.18045112781955
472,42.91044776119403,22.01492537313433
473,42.91044776119403,22.388059701492537
474,42.91044776119403,22.761194029850746
476,42.592592592592595,22.59259259259259
480,42.279411764705884,22.426470588235293
482,42.64705882352941,22.426470588235293
484,42.33576642335766,22.26277372262774
486,42.33576642335766,22.62773722627737
488,42.33576642335766,22.99270072992701
489,42.7007299270073,22.99270072992701
490,42.391304347826086,22.82608695652174
492,42.0863309352518,22.66187050359712
493,41.785714285714285,22.5
498,41.785714285714285,22.857142857142858
499,41.48936170212766,22.69503546099291
501,41.843971631205676,22.69503546099291
502,42.198581560283685,22.69503546099291
503,41.901408450704224,22.535211267605632
505,41.60839160839161,22.377622377622377
506,41.95804195804196,22.377622377622377
507,42.30769230769231,22.377622377622377
508,42.013888888888886,22.22222222222222
509,42.361111111111114,22.22222222222222
510,42.708333333333336,22.22222222222222
511,42.41379310344828,22.06896551724138
512,42.41379310344828,22.413793103448278
513,42.758620689655174,22.413793103448278
514,43.10344827586207,22.413793103448278
515,42.80821917808219,22.26027397260274
516,42.51700680272109,22.108843537414966
517,42.229729729729726,21.95945945945946
518,42.229729729729726,22.2972972972973
520,42.567567567567565,22.2972972972973
523,42.9054054054054,22.2972972972973
525,42.9054054054054,22.635135135135137
527,42.61744966442953,22.483221476510067
528,42.333333333333336,22.333333333333332
529,42.666666666666664,22.333333333333332
531,43.0,22.333333333333332
532,42.71523178807947,22.185430463576157
533,42.43421052631579,22.039473684210527
538,42.15686274509804,21.895424836601308
539,42.48366013071895,21.895424836601308
541,42.20779220779221,21.753246753246753
542,41.935483870967744,21.612903225806452
543,41.666666666666664,21.474358974358974
544,41.666666666666664,21.794871794871796
545,41.40127388535032,21.656050955414013
546,41.40127388535032,21.97452229299363
547,41.71974522292994,21.97452229299363
550,42.038216560509554,21.97452229299363
551,41.77215189873418,21.835443037974684
552,42.08860759493671,21.835443037974684
553,42.40506329113924,21.835443037974684
554,42.721518987341774,21.835443037974684
555,43.037974683544306,21.835443037974684
557,43.35443037974684,21.835443037974684
558,43.35443037974684,22.151898734177216
559,43.081761006289305,22.0125786163522
560,42.8125,21.875
561,42.546583850931675,21.73913043478261
562,42.28395061728395,21.604938271604937
563,42.02453987730061,21.47239263803681
564,42.331288343558285,21.47239263803681
565,42.63803680981595,21.47239263803681
566,42.94478527607362,21.47239263803681
567,43.25153374233129,21.47239263803681
568,42.98780487804878,21.341463414634145
569,43.292682926829265,21.341463414634145
570,43.03030303030303,21.21212121212121
573,42.7710843373494,21.08433734939759
574,42.7710843373494,21.3855421686747
576,43.0722891566265,21.3855421686747
578,43.373493975903614,21.3855421686747
582,43.11377245508982,21.25748502994012
583,42.857142857142854,21.13095238095238
585,42.603550295857985,21.005917159763314
586,42.35294117647059,20.88235294117647
587,42.10526315789474,20.760233918128655
588,41.86046511627907,20.63953488372093
590,42.151162790697676,20.63953488372093
591,41.907514450867055,20.520231213872833
594,42.19653179190752,20.520231213872833
595,41.95402298850575,20.402298850574713
600,41.714285714285715,20.285714285714285
602,41.47727272727273,20.170454545454547
604,41.76136363636363,20.170454545454547
605,42.04545454545455,20.170454545454547
606,41.80790960451977,20.056497175141242
608,42.090395480225986,20.056497175141242
611,42.090395480225986,20.338983050847457
612,42.090395480225986,20.62146892655367
614,42.3728813559322,20.62146892655367
615,42.3728813559322,20.903954802259886
616,42.13483146067416,20.786516853932586
617,42.41573033707865,20.786516853932586
619,42.17877094972067,20.670391061452513
620,41.94444444444444,20.555555555555557
621,42.22222222222222,20.555555555555557
622,41.988950276243095,20.441988950276244
623,41.988950276243095,20.718232044198896
627,42.26519337016575,20.718232044198896
628,42.032967032967036,20.604395604395606
629,41.80327868852459,20.491803278688526
630,41.57608695652174,20.380434782608695
631,41.351351351351354,20.27027027027027
632,41.12903225806452,20.161290322580644
633,41.39784946236559,20.161290322580644
634,41.1764705882353,20.053475935828878
635,40.95744680851064,19.9468085106383
636,40.74074074074074,19.841269841269842
637,40.526315789473685,19.736842105263158
640,40.78947368421053,19.736842105263158
641,41.05263157894737,19.736842105263158
643,40.83769633507853,19.63350785340314
644,40.83769633507853,19.895287958115183
646,40.625,19.791666666666668
648,40.625,20.052083333333332
650,40.625,20.3125
654,40.885416666666664,20.3125
655,41.145833333333336,20.3125
656,41.145833333333336,20.572916666666668
657,41.145833333333336,20.833333333333332
659,40.932642487046635,20.72538860103627
660,40.932642487046635,20.984455958549223
661,40.72164948453608,20.876288659793815
664,40.72164948453608,21.1340206185567
665,40.97938144329897,21.1340206185567
668,41.23711340206186,21.1340206185567
669,41.23711340206186,21.391752577319586
670,41.23711340206186,21.649484536082475
672,41.49484536082474,21.649484536082475
675,41.75257731958763,21.649484536082475
677,41.53846153846154,21.53846153846154
678,41.326530612244895,21.428571428571427
679,41.11675126903553,21.31979695431472
681,40.90909090909091,21.21212121212121
687,41.16161616161616,21.21212121212121
689,40.95477386934673,21.105527638190956
691,40.95477386934673,21.35678391959799
692,40.95477386934673,21.608040201005025
696,40.75,21.5
700,41.0,21.5
702,40.79601990049751,21.393034825870647
703,40.59405940594059,21.287128712871286
705,40.84158415841584,21.287128712871286
708,40.64039408866995,21.182266009852217
710,40.64039408866995,21.428571428571427
711,40.44117647058823,21.323529411764707
713,40.44117647058823,21.568627450980394
716,40.68627450980392,21.568627450980394
717,40.931372549019606,21.568627450980394
719,40.931372549019606,21.813725490196077
721,40.73170731707317,21.70731707317073
722,40.53398058252427,21.601941747572816
725,40.77669902912621,21.601941747572816
